PDB,PDB Keywords,Length,Sec. Structure
2lws,"PLANT PEPTIDE, PAWS DERIVED, CYCLIC PEPTIDE, PLANT PROTEIN            ",12,Alpha helical
2lwt,"PLANT PEPTIDE, PAWS DERIVED, CYCLIC PEPTIDE, PLANT PROTEIN            ",18,Beta sheet
2lwu,"PLANT PEPTIDE, PAWS DERIVED, CYCLIC PEPTIDE, PLANT PROTEIN            ",15,Beta sheet
2lwv,"PLANT PEPTIDE, PAWS DERIVED, CYCLIC PEPTIDE, PLANT PROTEIN            ",17,Beta sheet
2lye,"THETA-DEFENSIN, CYCLIC PEPTIDES, CYCLIC CYSTINE LADDER, ANTIMICROBIAL, PROTEIN                                                              ",18,Beta sheet
2lyf,"THETA-DEFENSIN, CYCLIC PEPTIDES, CYCLIC CYSTINE LADDER, ANTIMICROBIAL, PROTEIN                                                              ",18,Beta sheet
2lzi,"THETA-DEFENSIN, CYCLIC PEPTIDES, CYCLIC CYSTINE LADDER, ANTIVIRAL, PROTEIN                                                              ",18,Beta sheet
2m77,"THETA-DEFENSIN, CYCLIC PEPTIDES, CYCLIC CYSTINE LADDER, INTEGRIN-BINDING, CELL ADHESION                                               ",18,Beta sheet
2m78,"THETA-DEFENSIN, CYCLIC PEPTIDES, CYCLIC CYSTINE LADDER, INTEGRIN-BINDING, CELL ADHESION                                               ",18,Beta sheet
2m79,"THETA-DEFENSIN, CYCLIC PEPTIDES, CYCLIC CYSTINE LADDER, INTEGRIN-BINDING, CELL ADHESION                                               ",18,Beta sheet
2m9o,"BETA HAIRPIN, PLANT PROTEIN                                           ",29,Beta sheet
2mh1,"KALATA B1, SORTASE A, CYCLIC CYSTEINE KNOT, CYCLOTIDE, STRUCTURAL, PROTEIN, DE NOVO PROTEIN                                             ",33,Beta sheet
2mn1,"CYCLOTIDE, UNKNOWN FUNCTION                                           ",30,Beta sheet
2mso,"CONOTOXINS, CYCLIC PEPTIDES, CYCLIZATION, CYSTINE KNOT, DRUG DESIGN, TOXIN                                                                ",30,Beta sheet
2mt8,"CYCLOTIDE, TRYPSIN INHIBITOR, HYDROLASE INHIBITOR                     ",39,Mixed
2mw0,"KALATA B7, PROTEIN BINDING                                            ",29,Beta sheet
2n07,"DISULFIDE-DELETED MUTANT, CVC1.1, TOXIN                               ",22,Alpha helical
2nb5,"CYCLIC BACKBONE, PLANT PEPTIDE, PLANT PROTEIN                         ",17,Beta sheet
2ndl,"PDP, PAWS DERIVED PEPTIDE, PLANT PEPTIDE, CYCLIC PEPTIDE, DE NOVO, PROTEIN                                                              ",16,Beta sheet
2ndm,"PDP, PLANT PEPTIDE, CYCLIC PEPTIDE, PLANT PROTEIN                     ",13,None
2ndn,"PDP, PAWS DERIVED PEPTIDE, PLANT PEPTIDE, CYCLIC PEPTIDE, PLANT, PROTEIN                                                              ",16,Beta sheet
2ns4,"PEPTIDOMIMETICS, PEPTIDE STRUCTURE, RNA RECOGNITION, IMMUNODEFICIENCY, VIRUS, TAR RNA, RNA BINDING PROTEIN                                  ",14,Beta sheet
2otq,"CATIONIC ANTIMICROBIAL PEPTIDE, ANTIMICROBIAL PROTEIN                 ",6,None
2ox2,"ANTIMICROBIAL, CATIONIC PEPTIDE, ANTIMICROBIAL PROTEIN                ",6,None
2po8,"OXIDATIVE FOLDING INTERMEDIATE, PLANT PROTEIN                         ",34,Mixed
5h1h,"SLBA, SUNFLOWER TRYPSIN INHIBITOR, CYCLIC PEPTIDE, DISULPHIDE BOND, DE NOVO PROTEIN                                                      ",16,None
5h1i,"TIBA, CHIMERA, SUNFLOWER TRYPSIN INHIBITOR, CYCLIC PEPTIDE, DE NOVO PROTEIN                                                              ",18,None
5kwz,"DESIGNED PEPTIDE, DE NOVO PROTEIN                                     ",26,Alpha helical
5kx1,"DESIGNED PEPTIDE, DE NOVO PROTEIN                                     ",22,Alpha helical
5wov,"CYCLOTIDE, PLANT PEPTIDE, CYCLIC CYSTINE KNOT, DE NOVO PROTEIN        ",34,Mixed
5wow,"CYCLOTIDE, PLANT PEPTIDE, CYCLIC CYSTINE KNOT, GRAFTED PEPTIDE, BIOACTIVE EPITOPE, DE NOVO PROTEIN                                   ",39,Beta sheet
6dny,"INHIBITOR, TYROSINASE, PROTEIN BINDING                                ",4,None
6pin,"DEFENSE PEPTIDE, CYCLIC PEPTIDE, ANTIMICROBIAL PROTEIN                ",18,Beta sheet
6pio,"DEFENSE PEPTIDE, CYCLIC PEPTIDE, ANTIMICROBIAL PROTEIN                ",18,Beta sheet
6pip,"DEFENSE PEPTIDE, CYCLIC PEPTIDE, ANTIMICROBIAL PROTEIN                ",18,Beta sheet
6u7q,"INHIBITOR, BIOSYNTHETIC PROTEIN                                       ",14,Beta sheet
6u7r,"KLK7 INHIBITOR, BIOSYNTHETIC PROTEIN                                  ",14,Beta sheet
6u7s,"PLASMIN INHIBITOR, BIOSYNTHETIC PROTEIN                               ",14,Beta sheet
6wpv,"ORBITIDE, CYCLIC PLANT PEPTIDE, PLANT PROTEIN                         ",8,None
7f32,"STRUCTURE FROM CYANA 2.1, METAL BINDING PROTEIN                       ",18,Beta sheet
7k7x,"CYCLIC PEPTIDE, RUBIACEAE, T-CELL PROLIFERATION, CYTOTOXIC, HEMOLYTIC, IMMUNOSUPPRESSANT                                         ",29,Beta sheet
7l53,"MACROCYCLIC PEPTIDE, HYDROPHOBIC CORE, PLANT PROTEIN                  ",28,Beta sheet
7l54,"MACROCYCLIC PEPTIDE, PAWS DERIVED PEPTIDE, PLANT PROTEIN              ",28,Beta sheet
7l55,"PAWS DERIVED PEPTIDE, MACROCYCLE, PLANT PROTEIN                       ",28,Beta sheet
7lhc,"CYCLOTIDE, CCK MOTIF, KNOTTIN, CYCLIC PEPTIDE, PLANT PROTEIN          ",29,Beta sheet
7m25,"PLP, ORBITIDE, CYCLIC, AEP-PROCESSED, PLANT PROTEIN                   ",8,Alpha helical
7m27,"CYCLIC, ORBITIDE, PLP, AEP-PROCESSED, PLANT PROTEIN                   ",8,None
7m28,"CYCLIC, PLP, ORBITIDE, AEP-PROCESSED, PLANT PROTEIN                   ",7,None
7m29,"CYCLIC, PLP, ORBITIDE, AEP-PROCESSED, PLANT PROTEIN                   ",8,None
7m2a,"CYCLIC, PLP, ORBITIDE, AEP-PROCESSED, PLANT PROTEIN                   ",7,None
7m2b,"CYCLIC, PLP, ORBITIDE, AEP-PROCESSED, PLANT PROTEIN                   ",8,None
7m2c,"CYCLIC, PLP, ORBITIDE, AEP-PROCESSED, PLANT PROTEIN                   ",7,None
7m3u,"CYCLIC, AEP-PROCESSED, BI-DISULFIDE, PLANT PROTEIN                    ",27,Beta sheet
7rn3,"CYCLOTIDES, PLANT PROTEIN                                             ",30,Mixed
7s55,"CYCLOTIDE PEPTIDE BRACELET, CYCLIC CYSTEINE KNOT, ANTIMICROBIAL, PROTEIN                                                              ",31,Beta sheet
